scenario,year,revenue,costs,net_income,margin_pct,medicare_outpatient_enhanced,additional_facility_payment,lost_inpatient_revenue,mih_cost,mih_revenue,ccn,hospital_name,state
CAH_Baseline,1,28690166.0,27722869.21,967296.7899999991,3.3715273379735726,,,,,,41332,UNITY HEALTH - NEWPORT,AR
CAH_Baseline,2,28690166.0,28554555.2863,135610.7137000002,0.472673158112784,,,,,,41332,UNITY HEALTH - NEWPORT,AR
CAH_Baseline,3,28690166.0,29411191.944889,-721025.9448890015,-2.513146647143839,,,,,,41332,UNITY HEALTH - NEWPORT,AR
REH_Conversion,1,,20587503.58748532,,0.0,,3312000.0,30507384.0,,,41332,UNITY HEALTH - NEWPORT,AR
REH_Conversion,2,,21205128.695109878,,0.0,,3312000.0,30507384.0,,,41332,UNITY HEALTH - NEWPORT,AR
REH_Conversion,3,,21841282.555963174,,0.0,,3312000.0,30507384.0,,,41332,UNITY HEALTH - NEWPORT,AR
REH_with_MIH,1,,22207503.58748532,,,,3312000.0,30507384.0,1620000.0,0.0,41332,UNITY HEALTH - NEWPORT,AR
REH_with_MIH,2,,22825128.695109878,,,,3312000.0,30507384.0,1620000.0,0.0,41332,UNITY HEALTH - NEWPORT,AR
REH_with_MIH,3,,23461282.555963174,,,,3312000.0,30507384.0,1620000.0,0.0,41332,UNITY HEALTH - NEWPORT,AR
CAH_Baseline,1,35889613.0,49004139.02,-13114526.020000003,-36.541285691768266,,,,,,191315,HARDTNER MEDICAL CENTER,LA
CAH_Baseline,2,35889613.0,50474263.1906,-14584650.1906,-40.63752426252131,,,,,,191315,HARDTNER MEDICAL CENTER,LA
CAH_Baseline,3,35889613.0,51988491.086318,-16098878.086318001,-44.856649990396946,,,,,,191315,HARDTNER MEDICAL CENTER,LA
REH_Conversion,1,,42111977.525454134,,0.0,,3312000.0,17629399.0,,,191315,HARDTNER MEDICAL CENTER,LA
REH_Conversion,2,,43375336.851217754,,0.0,,3312000.0,17629399.0,,,191315,HARDTNER MEDICAL CENTER,LA
